Transaction Description,Type,Category,Amount ($)
Credited from office8 paycheck,Income,Salary,2451.0
bank refund credited to account,Income,Refunds,245.64
holiday reward deposit received,Income,Gift/Bonus,9774.5
Income via investment return,Income,Interest/Dividends,8783.13
spotify transaction,Expense,Subscriptions,273.55
Payment received: holiday reward,Income,Gift/Bonus,6314.24
domino's pizza - order #9153,Expense,Restaurants,740.13
t-mobile transaction,Expense,Utilities,634.66
Payment received: b2b invoice payment,Income,Business Revenue,4551.95
Bank credit frOM PrOPerty lEasE pAyMEnt,Income,Rent Income,7595.85
bank refund credited to account,Income,Refunds,5910.9
Paid t-MoBilE Via card,Expense,Utilities,322.27
netflix transaction,Expense,Subscriptions,354.89
Paid kroger viA card,Expense,Groceries,656.72
Payment received: shop revenue,Income,Business Revenue,3049.91
Income via paypal refund,Income,Refunds,4387.12
Credited from property lease payment,Income,Rent Income,5262.34
domino's pizza transaction,Expense,Restaurants,697.58
prOperTY lEaSe paymEnt dEposIt receiVed,Income,Rent Income,6077.67
Income vIa Nse rEtuRN,Income,Investments,4993.43
PaymEnt TO AirbNb,Expense,Travel,271.35
Bank credit from fd interest,Income,Interest/Dividends,9461.74
Paid aMazON.com vIA Card,Expense,Shopping,814.93
Income via bank refund,Income,Refunds,3738.03
Bank credit from cash prize,Income,Gift/Bonus,9665.23
0Payment to t-mobile,Expense,Utilities,419.69
cash prize red6ited to account,Income,Gift/Bonus,4741.18
Paid city water via card,Expense,Utilities,507.68
PUrChaSE at oYo rooms,Expense,Travel,214.1
Income via SToRe retuRn reFUnd,Income,Refunds,3343.23
publix - order #1055,Expense,Groceries,499.49
Credited from upwork payout,Income,Freelance,1907.46
Received house rent,Income,Rent Income,7640.11
salary from google credited to account,Income,Salary,6009.58
Purchase at trader joe,Expense,Groceries,717.65
Purchase t cvs pharmacy,Expense,Health & Medical,942.81
Payment to indigo,Expense,Travel,861.48
Received investment return,Income,Interest/Dividends,6415.05
Income via store return refund,Income,Refunds,2992.89
kr2oger monthly bill,Expense,Groceries,827.69
Payment to kroger,Expense,Groceries,66.44
CreDIteD froM cash prize,Income,Gift/Bonus,4308.23
Payment to wa7lmart grocery,Expense,Groceries,980.61
oyo rooms monthly bill,Expense,Travel,909.98
hulu monthly bill,Expense,Subscriptions,164.71
credit card cashback deposit received,Income,Refunds,1597.17
store return refund credited to account,Income,Refunds,8021.1
Purchase at ikea,Expense,Shopping,104.98
Purchase at netflix,Expense,Subscriptions,537.26
disney plus transaction,Expense,Subscriptions,29.46
pG&E biLL chArgE,Expense,Utilities,310.6
IncomE via CustoMEr paYmeNT,Income,Business Revenue,211.98
Bank credit from company payroll,Income,Salary,3420.69
Received online sale,Income,Business Revenue,505.12
Income via fd interest,Income,Interest/Dividends,1132.01
Purhase at mcdonald,Expense,Restaurants,273.56
makemytrip - order #6554,Expense,Travel,26.65
Paid aldi via card,Expense,Groceries,337.42
STorE deposiT dEposiT receIved,Income,Business Revenue,8386.74
house rent deposit received,Income,Rent Income,7595.13
Bank credit from performance bonus,Income,Gift/Bonus,2973.33
Received paypal refund,Income,Refunds,9922.06
Paymen3t to urgent care,Expense,Health & Medical,723.45
Paid domino's pizza via card,Expense,Restaurants,54.31
Received customer payment,Income,Business Revenue,6283.21
Payment to airbn6b,Expense,Travel,684.77
b2B invoIcE paymENt crediTed tO accounT,Income,Business Revenue,5562.34
Payment to makmytrip,Expense,Travel,204.33
PaymeNt tO mCdoNAld,Expense,Restaurants,812.07
gym mEmbeRship transaction,Expense,Health & Medical,517.64
kfc monthly bill,Expense,Restaurants,574.4
comCasT tRansAction,Expense,Utilities,858.44
crypto gain deposit received,Income,Investments,642.28
PaYeNt receIved: banK RefunD,Income,Refunds,2861.41
Payment to spo3tify,Expense,Subscriptions,189.62
amazon 0prime charge,Expense,Subscriptions,853.94
oyo rooms monthly bill,Expense,Travel,60.15
kfc - order #5303,Expense,Restaurants,911.96
ch@evron - order #9859,Expense,Transportation,351.52
Bank credit from freelance gig,Income,Freelance,3207.18
Payment to trader joe,Expense,Groceries,952.79
Paid amazon prime via ca0rd,Expense,Subscriptions,783.21
cvs pharmacy charge,Expense,Health & Medical,131.82
Bank credit from bank refund,Income,Refunds,1329.74
spEctRUm - order #3365,Expense,Utilities,663.62
comcast - order #6451,Expense,Utilities,945.44
Income via corporate payment,Income,Salary,9859.52
crypto gain deposit received,Income,Investments,9501.62
gym membership monthly bill,Expense,Health & Medical,446.99
stock dividend credited to account,Income,Investments,2389.0
credit card cashback credited to account,Income,Refunds,8717.35
upwork payout deposit received,Income,Freelance,1119.3
Income via1 bank refund,Income,Refunds,3234.1
chevron monthly bill,Expense,Transportation,716.54
oyo rooms charge,Expense,Travel,374.25
best buy monthly bill,Expense,Shopping,163.96
walmart tansaction,Expense,Shopping,235.8
Received fd interest,Income,Interest/Dividends,7309.2
Purchase at hulu,Expense,Subscriptions,804.33
upwork payout deposit received,Income,Freelance,7952.26
credit card cashback credited to account,Income,Refunds,8679.22
CRediTEd from corporAtePayMEnt,Income,Salary,6174.49
Bank credit from office paycheck,Income,Salary,4742.9
Bank credit from salary from google,Income,Salary,701.92
Received credit card cashback,Income,Refunds,291.42
Credited from freelance gig,Income,Freelance,3879.05
CrediTed from cRypto gAin,Income,Investments,6884.31
PUrChase aT mCdOnAlD,Expense,Restaurants,717.43
Payment to gym membership,Expense,Health & Medical,939.16
Income via mutual fund profit,Income,Investments,4259.78
Received festival bonus,Income,Gift/Bonus,7369.47
8festival bonus credited to account,Income,Gift/Bonus,2406.03
company payroll credited8 to account,Income,Salary,1989.91
paypl refund deposit r8eceived,Income,Refunds,3742.28
grubhub - order #9057,Expense,Restaurants,515.21
Credited from birthday gift money,Income,Gift/Bonus,1864.31
Purchase at best buy,Expense,Shopping,406.11
Payment received: property lease payment,Income,Rent Income,1562.54
bp gas charge,Expense,Transportation,629.02
walgreens - order #9001,Expense,Health & Medical,910.43
verizon monthly6 bill,Expense,Utilities,106.13
festival bonus credited to account,Income,Gift/Bonus,7563.98
Paymet received: credit card cashback,Income,Refunds,5736.16
credit card cashback credited to account,Income,Refunds,8250.31
Paid myntra via card,Expense,Shopping,855.55
Credited from store deposit,Income,Business Revenue,974.17
tripadvisor monthly bill,Expense,Travel,214.66
Paid uber trip via card,Expense,Transportation,137.21
trader joe transaction,Expense,Groceries,298.76
Purchase at t-mobile,Expense,Utilities,621.26
Received share sale profit,Income,Investments,4299.29
Payment received: contract project payment,Income,Freelance,588.74
PaiD tRiPadVIsoR VIA caRd,Expense,Travel,330.38
Payment received: crypto gain,Income,Investments,9284.32
Received client transfer,Income,Freelance,2199.91
Purchase at oyo rooms,Expense,Travel,158.99
Paid comcast via card,Expense,Utilities,86.61
apple music charge,Expense,Subscriptions,514.84
Bank credit from investment return,Income,Interest/Dividends,5642.51
PAyMenT to MCDONalD,Expense,Restaurants,981.24
Purchase7 at subway,Expense,Restaurants,22.07
house rent credited to account,Income,Rent Income,5323.53
RECEiVEd FReElancE giG,Income,Freelance,2716.97
mcdonald monthly bill,Expense,Restaurants,832.76
city water charge,Expense,Utilities,241.68
amazon3.com charge,Expense,Shopping,886.93
office paycheck deposit received,Income,Salary,5160.31
corporate payment deposit received,Income,Salary,4794.42
hospital monthly bill,Expense,Health & Medical,749.26
Payment to walgreens,Expense,Health & Medical,78.09
Credited from online sale,Income,Business Revenue,7691.87
PAiD Meijer vIA CARd,Expense,Groceries,479.62
Bank credit from customer payment,Income,Business Revenue,3658.39
chevron - order #1187,Expense,Transportation,245.48
fiverr payment deposit received,Income,Freelance,7101.87
crypto gain credited to account,Income,Investments,6737.11
Received salary from google,Income,Salary,3407.43
Income via monthly salary,Income,Salary,1501.06
Payment received: cash prize,Income,Gift/Bonus,7059.99
walgreens transaction,Expense,Health & Medical,791.26
Payment receive#d: customer payment,Income,Business Revenue,6647.15
office paychec3k deposit received,Income,Salary,5811.87
Paid lyft ride via card,Expense,Transportation,956.84
Received property lease payment,Income,Rent Income,5387.8
Payment received: b2b invoice payment,Income,Business Revenue,7171.58
amazon prime transaction,Expense,Subscriptions,808.6
youtube premium - order #7166,Expense,Subscriptions,739.05
Purchase at spot1ify,Expense,Subscriptions,949.27
stock dividend credited to account,Income,Investments,8642.7
Bank credit from online sale,Income,Business Revenue,9724.22
Credited from fiverr payment,Income,Freelance,783.38
parking garage monthly bill,Expense,Transportation,566.61
Bank credit from freelance gig,Income,Freelance,2078.19
PaiD sUbway Via CARd,Expense,Restaurants,892.63
Payment received: holiday reward,Income,Gift/Bonus,8671.14
Credited from nse return,Income,Investments,9005.62
makemytrip charge,Expense,Travel,64.13
Income via property lease payment,Income,Rent Income,7722.38
Bank credit from cash prize,Income,Gift/Bonus,987.46
Purchase at ebay,Expense,Shopping,356.03
amazon.com - order #3817,Expense,Shopping,848.01
netflix transaction,Expense,Subscriptions,318.57
Bank credit from paypal refund,Income,Refunds,2329.63
Payment to kfc,Expense,Restaurants,385.93
Received contract project payment,Income,Freelance,5374.67
urgent care monthly bill,Expense,Health & Medical,565.68
Credited f#rom nse return,Income,Investments,7680.55
Bank credit from b2b invoice payment,Income,Business Revenue,826.73
holiday reward deposit received,Income,Gift/Bonus,7938.73
Received mutual fund profit,Income,Investments,5132.5
salary from google deposit received,Income,Salary,3603.2
flipkaRt TransaCtioN,Expense,Shopping,548.7
CReDited frOm PRopERTY LEaSe paYmenT,Income,Rent Income,7908.14
Credited from payp@al refund,Income,Refunds,1399.49
Received corporate payment,Income,Salary,4477.19
Bank credit from bank interest,Income,Interest/Dividends,3237.65
Received birthday gift money,Income,Gift/Bonus,9072.04
uber trip monthly bill,Expense,Transportation,975.84
Payment received: fiverr payment,Income,Freelance,8998.65
CRediteD fROm onlInE saLe,Income,Business Revenue,2117.12
Purchase at pg&e bill,Expense,Utilities,29.54
Paid trader joe via card,Expense,Groceries,315.05
PurcHaSE at meTro ticKeT,Expense,Transportation,356.17
monthly salary credited to account,Income,Salary,9946.93
hulu monthly bill,Expense,Subscriptions,156.63
spotify monthly bill,Expense,Subscriptions,411.02
Paid gym membership via card,Expense,Health & Medical,527.67
Payment to verizon,Expense,Utilities,950.02
Paid amazon prime via card,Expense,Subscriptions,22.76
urgent care - order #4180,Expense,Health & Medical,73.61
gym membership - order #8204,Expense,Health & Medical,89.5
Purchase at gym membership,Expense,Health & Medical,646.53
Income via office lease income,Income,Rent Income,4554.25
investment return deposit received,Income,Interest/Dividends,631.72
spectrum MOntHly Bill,Expense,Utilities,107.73
walmart grocery monthly bill,Expense,Groceries,114.04
Credited from company payroll,Income,Salary,6047.05
starbucks - order #9184,Expense,Restaurants,967.09
BanK creDit froM iNVesTMent rEturn,Income,Interest/Dividends,7891.07
Bank credit from client transfer,Income,Freelance,3503.94
PayMEnt reCEiVEd: caSH Prize,Income,Gift/Bonus,3325.91
CREdIted frOm cASh prize,Income,Gift/Bonus,8386.34
festival bonus deposit received,Income,Gift/Bonus,2534.87
Received dividend credit,Income,Interest/Dividends,7077.23
birthday gift money credited to account,Income,Gift/Bonus,7632.56
Payment received: stock dividend,Income,Investments,2749.72
CredIted FRom SHArE sAle profIt,Income,Investments,1175.23
indigo - order #6064,Expense,Travel,801.1
mutual fund profit credited to account,Income,Investments,3001.57
oyo rooMs tRAnSActiON,Expense,Travel,589.5
chevron - order #2592,Expense,Transportation,57.31
IncOMe vIA crediT Card casHback,Income,Refunds,4633.78
Received investment return,Income,Interest/Dividends,7276.57
Income via stock div#idend,Income,Investments,6473.38
Credited from office lease income,Income,Rent Income,2619.5
Income via nse return,Income,Investments,6607.23
Received shop revenue,Income,Business Revenue,8188.29
Received store deposit,Income,Business Revenue,2230.61
Paid mEijer3 Via card,Expense,Groceries,488.21
paypal refund credited to account,Income,Refunds,6671.89
indigo monthly bill,Expense,Travel,800.92
Payment to spectrum,Expense,Utilities,382.91
dIsneY plus chAr7ge,Expense,Subscriptions,488.8
Pu2rchase at ikea,Expense,Shopping,262.19
INcome Via sHare salE Profit,Income,Investments,8316.5
Bank credit from salary fro9m google,Income,Salary,9240.29
Received tenant payment,Income,Rent Income,1261.94
Paid cvs pharmacy via card,Expense,Health & Medical,109.76
netfli2x transaction,Expense,Subscriptions,441.12
Payment received: bank refund,Income,Refunds,7638.89
Payment received: nse return,Income,Investments,6965.05
company payroll credited to account,Income,Salary,8792.0
CreDiTEd FROm iNVESTmenT ReTuRn,Income,Interest/Dividends,8263.44
BANK C#rediT fRom Salary fROm google,Income,Salary,9553.06
Received monthly salary,Income,Salary,7296.57
uber trip charge,Expense,Transportation,216.82
P0urchase at indigo,Expense,Travel,384.49
Paid kf via card,Expense,Restaurants,10.48
Payment received: house rent,Income,Rent Income,2617.9
paKiNG garAGe monthlY biLL,Expense,Transportation,529.36
t-MoBile MonthlY bill,Expense,Utilities,484.66
Payment received: investment return,Income,Interest/Dividends,556.34
gym membership m2onthly bill,Expense,Health & Medical,103.29
Bank credit from holiday reward,Income,Gift/Bonus,6276.43
Income via tenant payment,Income,Rent Income,9481.19
chevron - order #3892,Expense,Transportation,839.14
PaYmenT to ebay,Expense,Shopping,585.1
Payment t costco,Expense,Groceries,101.37
Income via birthday gift money,Income,Gift/Bonus,5762.66
oyo rooms - order #6314,Expense,Travel,921.93
Pa7id urgent care via card,Expense,Health & Medical,453.08
Income via online sale,Income,Business Revenue,5860.32
Bank credit from freelance gig,Income,Freelance,2860.78
company payroll deposit re8ceived,Income,Salary,2940.77
PuRChasE at tradEr joe,Expense,Groceries,99.09
Pa1Id Makemytrip via CaRd,Expense,Travel,807.5
mutual fund profit deposit received,Income,Investments,5084.71
verizon chage,Expense,Utilities,123.14
Paid bp gas via card,Expense,Transportation,112.05
Bank credit fom freelance gig,Income,Freelance,5438.76
Paid publix via card,Expense,Groceries,783.53
PaYmeNt received: StOck DIviDend,Income,Investments,5989.73
Payment received: store deposit,Income,Business Revenue,4009.21
BANk refunD dEpoSit ReCEivEd,Income,Refunds,1184.11
Credited from office paycheck,Income,Salary,6055.76
comcast - order #9338,Expense,Utilities,345.4
cvs pharmacy - order #2812,Expense,Health & Medical,591.99
shell oil charge,Expense,Transportation,903.01
Bank credit from property lease payment,Income,Rent Income,2875.8
Payment to uber trip,Expense,Transportation,484.44
Credited from paypal refund,Income,Refunds,6954.14
1PAid uBeR TriP via card,Expense,Transportation,745.52
Purchase at #airbnb,Expense,Travel,533.55
Received performance bonus,Income,Gift/Bonus,4391.01
Income via investment return,Income,Interest/Dividends,4765.38
Bank credit from nse return,Income,Investments,2380.69
urgent care charge,Expense,Health & Medical,37.35
spOtifY moNthLy bill,Expense,Subscriptions,981.35
Payment to shell oil,Expense,Transportation,322.26
Received upwork payout,Income,Freelance,7513.07
Purchase at airbnb,Expense,Travel,349.46
Purchase at metro ticket,Expense,Transportation,858.28
publix - order #4347,Expense,Groceries,520.16
Paid burger king via card,Expense,Restaurants,481.7
urgeNt care chargE,Expense,Health & Medical,126.71
Bank credit from store deposit,Income,Business Revenue,8327.91
Payment to apple music,Expense,Subscriptions,368.79
performance bonus de3posit received,Income,Gift/Bonus,5644.79
cvs pharmacy charge,Expense,Health & Medical,972.14
Bank Credit froM bAnk inTeRE9st,Income,Interest/Dividends,5177.46
Received house rent,Income,Rent Income,1756.72
Purchase at hulu,Expense,Subscriptions,894.26
corporate payment deposit received,Income,Salary,750.89
PaYment rEcEIved: sHare Sale profit,Income,Investments,5321.56
bank interes3t deposit received,Income,Interest/Dividends,8369.61
PAyMent to oyO Rooms,Expense,Travel,831.34
Purchase at indigo,Expense,Travel,530.74
Payment to gym membership,Expense,Health & Medical,571.96
cUstOMer paYmeNT CreDIteD to AcCOUNt,Income,Business Revenue,4868.51
gym membership transaction,Expense,Health & Medical,30.81
Bank credit from investment return,Income,Interest/Dividends,9205.26
Credited from customer payment,Income,Business Revenue,2868.01
BaNk CredIt from nSe retUrn,Income,Investments,2660.97
targET monthly bill,Expense,Shopping,781.25
Paid safeway via ard,Expense,Groceries,207.23
Payment to spotify,Expense,Subscriptions,176.41
disney plus transaction,Expense,Subscriptions,407.24
Paid target via card,Expense,Shopping,112.24
Bank credit from festival bonus,Income,Gift/Bonus,3448.35
Payment to mcdonald,Expense,Restaurants,337.34
Income via amazon refund,Income,Refunds,1086.98
ne6tflix - order #9434,Expense,Subscriptions,542.34
PAID pg&E bilL ViA caRd,Expense,Utilities,669.88
prOpErty leaSE payment dEpOsit recEiVEd,Income,Rent Income,8041.64
cOntraCt ProjecT pAyMEnT cRedItEd TO acCOuNt,Income,Freelance,7236.33
shell oil charge,Expense,Transportation,405.5
apple music - order #2066,Expense,Subscriptions,391.36
Payment received: bank refund,Income,Refunds,6494.94
Bank credit from tenant payment,Income,Rent Income,2860.05
INcOME via b2B Inv1oicE payMenT,Income,Business Revenue,3191.75
burger king - order #6@576,Expense,Restaurants,720.21
Payment to t-mobile,Expense,Utilities,861.22
dividend credit deposit received,Income,Interest/Dividends,9246.92
PaymenT ReceivEd: baNK ReFunD,Income,Refunds,7771.01
PAId pg&E Bill via card,Expense,Utilities,242.09
Credited from share sale profit,Income,Investments,2334.75
Payment received: bank interest,Income,Interest/Dividends,1348.7
walgreens transaction,Expense,Health & Medical,389.74
Pay0ment to city water,Expense,Utilities,527.68
Received office paycheck,Income,Salary,2819.62
Paid gym membershp via card,Expense,Health & Medical,707.86
Income via stock dividend,Income,Investments,8798.17
Received shop revenue,Income,Business Revenue,1734.01
ReceIVEd offIcE lEase incomE,Income,Rent Income,8293.98
kroger transaction,Expense,Groceries,224.52
Bank credit from fiverr payment,Income,Freelance,9238.31
Paym3ent to makemytrip,Expense,Travel,677.06
Payment received: company payroll,Income,Salary,3188.48
Bank credit from nse return,Income,Investments,9994.43
Received fiverr payment,Income,Freelance,1678.24
Income via performance bonus,Income,Gift/Bonus,8726.84
apple music transac7tion,Expense,Subscriptions,633.01
Purchase at domino's pizza,Expense,Restaurants,876.35
Payment received: office lease income,Income,Rent Income,2608.01
fiverr payment credited to account,Income,Freelance,3580.78
Bank credit from credit card cashback,Income,Refunds,8619.2
burger king transaction,Expense,Restaurants,211.03
BeSt buy - order #3830,Expense,Shopping,717.62
Paid hulu via card,Expense,Subscriptions,259.57
Paid urgent care via card,Expense,Health & Medical,81.66
Paymnt to lyft ride,Expense,Transportation,59.47
Payment received: bank interest,Income,Interest/Dividends,1623.06
Paid kfc via card,Expense,Restaurants,647.66
PAId kfc ViA card,Expense,Restaurants,403.42
Paid domino's pizza via card,Expense,Restaurants,678.54
ubereats - order #7995,Expense,Restaurants,906.09
Paid youtube premium via card,Expense,Subscriptions,621.47
boOkINg.com - ordEr #4959,Expense,Travel,540.6
bp gas - order #9907,Expense,Transportation,63.08
Paid myntra via card,Expense,Shopping,302.43
credit card cashback deposit received,Income,Refunds,4040.41
Amazon.cOm tRaNsactIOn,Expense,Shopping,725.87
uBEreatS TransactioN,Expense,Restaurants,669.03
house rent deposit received,Income,Rent Income,5879.66
stock dividend deposit received,Income,Investments,3328.65
lyft ride transaction,Expense,Transportation,722.61
Credited from shop revenue,Income,Business Revenue,529.82
Bank credit from house rent,Income,Rent Income,4605.95
CRediteD FrOM baNK inteREst,Income,Interest/Dividends,1005.14
Fiverr paYment CrediTEd TO account,Income,Freelance,1404.11
cash prize credited to account,Income,Gift/Bonus,2539.56
Payment rec0eived: freelance gig,Income,Freelance,6498.99
share sale profit deposit received,Income,Investments,9666.39
office paycheck deposit received,Income,Salary,8012.33
Payment received: holiday reward,Income,Gift/Bonus,3606.9
Bank credit from store return refund,Income,Refunds,9946.77
holiday reward credited to account,Income,Gift/Bonus,8903.51
Credited from property lease payment,Income,Rent Income,7354.64
Bank credit from client trasfer,Income,Freelance,8505.29
Credited from festival bonus,Income,Gift/Bonus,6527.9
Paid grubhub via card,Expense,Restaurants,519.6
Income via house rent,Income,Rent Income,2698.41
StarbucKs transActioN,Expense,Restaurants,437.57
Purchase at urgent care,Expense,Health & Medical,81.17
Paid tripadvisor via card,Expense,Travel,892.97
R@eceived store return refund,Income,Refunds,5750.99
peRfOrmancE BonUs credited To account,Income,Gift/Bonus,8576.62
Income via birthday gift money,Income,Gift/Bonus,5623.82
mEijER - OrDEr #9977,Expense,Groceries,670.87
tripadvisor - order #2446,Expense,Travel,76.68
Payment received: stock d7ividend,Income,Investments,2527.48
Payment received: contract project payment,Income,Freelance,5723.65
Income via holiday reward,Income,Gift/Bonus,1140.85
Received customer payment,Income,Business Revenue,5843.17
hospital charge,Expense,Health & Medical,180.13
cvs pharmacy charge,Expense,Health & Medical,339.17
walmart charge,Expense,Shopping,586.58
Paid pg&e bill via card,Expense,Utilities,879.59
spectrum charge,Expense,Utilities,725.44
Paid meijer via card,Expense,Groceries,690.83
crypto gain credited to account,Income,Investments,2747.46
cvs pharmacy transaction,Expense,Health & Medical,307.73
lyft ride charge,Expense,Transportation,618.64
airbnb - order #2790,Expense,Travel,422.34
Payment rece9ived: cash prize,Income,Gift/Bonus,4552.49
tripadvisor transaction,Expense,Travel,163.21
Received investment return,Income,Interest/Dividends,9561.35
Received performance bonus,Income,Gift/Bonus,3478.28
indigo transaction,Expense,Travel,871.38
Bank credit from monthly salary,Income,Salary,4418.14
p8g&e bill charge,Expense,Utilities,68.83
3Purchase at hospital,Expense,Health & Medical,911.98
Pament received: bank interest,Income,Interest/Dividends,200.73
store return refund credited to account,Income,Refunds,2458.9
credit card cashback credited to account,Income,Refunds,3233.41
Paid airbnb via card,Expense,Travel,191.94
PaYment tO TRipadvisOr,Expense,Travel,94.65
Purchase at ikea,Expense,Shopping,344.54
spotify - order #9008,Expense,Subscriptions,322.2
urgent care transaction,Expense,Health & Medical,963.21
BAnk crEdiT FRoM share SAle proFIT,Income,Investments,538.19
Paid electric co-op via card,Expense,Utilities,101.8
shell oil - order #2416,Expense,Transportation,706.84
propeRty LeaSe pAYment DEposIt REceIVED,Income,Rent Income,5928.28
store deposit credited to account,Income,Business Revenue,2795.69
Bank credit from credit card cashback,Income,Refunds,712.36
meijer - order #7072,Expense,Groceries,250.55
Credited from monthly salary,Income,Salary,3660.01
Received store deposit,Income,Business Revenue,6077.33
Bank credit from fd interest,Income,Interest/Dividends,9065.0
Payment received: prperty lease payment,Income,Rent Income,2298.06
Payment rEceIVEd: prOPerTy lease paymnT,Income,Rent Income,9836.68
mutual fu5nd profit credited to account,Income,Investments,759.89
Bank credit from investment return,Income,Interest/Dividends,8877.38
b2b invoice payment credited to acc6ount,Income,Business Revenue,2986.39
safeway - order #1662,Expense,Groceries,731.13
Credited from fd interest,Income,Interest/Dividends,7942.14
Received stock dividend,Income,Investments,6980.74
Received holiday reward,Income,Gift/Bonus,6698.5
Credited from client transfer,Income,Freelance,6501.26
cREdit caRd CaShbacK creDIted to acCount,Income,Refunds,317.0
amazON.CoM trAnSactIoN,Expense,Shopping,909.81
hulu charge,Expense,Subscriptions,258.36
Purchase at youtube premium,Expense,Subscriptions,746.76
CrediteD From officE lEaSe income,Income,Rent Income,515.44
Paid t-mobile viacard,Expense,Utilities,848.89
s9hare sale profit credited to account,Income,Investments,2692.19
Payment received: tenant paymen3t,Income,Rent Income,7070.65
airbnb - order #5684,Expense,Travel,993.05
Credited from monthly salary,Income,Salary,6965.79
freelance gig deposit received,Income,Freelance,8773.34
verizon monthly bill,Expense,Utilities,870.44
gym membership charge,Expense,Health & Medical,271.77
Payment received: office lease inome,Income,Rent Income,4885.15
Income via b2b invoice payment,Income,Business Revenue,3473.42
spectrum transaction,Expense,Utilities,660.15
salary from google deposit received,Income,Salary,6971.45
store deposit deposit received,Income,Business Revenue,611.32
Purchase at flipkart,Expense,Shopping,746.86
pg&e bill transaction,Expense,Utilities,228.86
amazon.com transaction,Expense,Shopping,658.61
city water charge,Expense,Utilities,861.99
Tenant pAYMENt dEpoSit received,Income,Rent Income,1224.87
bank refund deposit received,Income,Refunds,1000.45
Received store deposit,Income,Business Revenue,676.62
mcdonald - order #2015,Expense,Restaurants,973.54
IncOme Via bAnK inTerEst,Income,Interest/Dividends,6024.52
al6di charge,Expense,Groceries,608.92
bp gaS trANsactIoN,Expense,Transportation,119.12
APple 7MUsiC - ordER #4853,Expense,Subscriptions,95.55
bp gas 1transaction,Expense,Transportation,24.14
Income via performance bonus,Income,Gift/Bonus,2291.7
Payment received: performance bonus,Income,Gift/Bonus,2761.15
d9isney plus - order #6334,Expense,Subscriptions,257.9
Purchase at verizon,Expense,Utilities,319.66
tenant payment deposit received,Income,Rent Income,4047.88
dividend credit deposit received,Income,Interest/Dividends,6210.69
RECeIved house renT,Income,Rent Income,1879.37
pg&e bill - order #7536,Expense,Utilities,478.68
Paid disney plUs viA cArd,Expense,Subscriptions,348.66
BaNk CreDit frOM saLary froM gooGlE,Income,Salary,6261.88
client transfer deposit received,Income,Freelance,6227.9
walgreens monthly bill,Expense,Health & Medical,913.97
proPErty leaSe paymenT deposit reCeived,Income,Rent Income,3812.95
verizon monthly bill,Expense,Utilities,823.85
airbnb monthly bill,Expense,Travel,151.17
PaiD GYm membeRsHip vIA CArd,Expense,Health & Medical,760.37
contract project payment credited to account,Income,Freelance,6475.87
Credited from corporate payment,Income,Salary,4900.07
Credited from office lease income,Income,Rent Income,7341.29
dOminO's PizzA - ordeR #4465,Expense,Restaurants,482.0
Pu#rchase at safeway,Expense,Groceries,635.35
Credited from client transfer,Income,Freelance,5630.57
Received nse return,Income,Investments,4759.41
PayMeNt reCEIved: propeRTY LEAse paymeNt,Income,Rent Income,3583.66
Credited from dividend credit,Income,Interest/Dividends,287.07
Paid electric co-op via card,Expense,Utilities,195.43
subway 4monthly bill,Expense,Restaurants,307.75
Payment5 to trader joe,Expense,Groceries,335.18
booking.com - order #7811,Expense,Travel,527.62
bank refUNd CREditEd to acCOunT,Income,Refunds,1271.36
makemytrip charge,Expense,Travel,461.25
Bank credit from property lease payment,Income,Rent Income,506.19
Income via customer payment,Income,Business Revenue,8220.3
Credited from paypal refund,Income,Refunds,5332.48
Paid walmart via card,Expense,Shopping,430.0
Received shop revenue,Income,Business Revenue,9371.09
salary from google credited to account,Income,Salary,7537.52
Purchase at hospital,Expense,Health & Medical,218.34
indigo charge,Expense,Travel,21.6
Paid apple music via card,Expense,Subscriptions,664.87
s6potify transation,Expense,Subscriptions,558.65
makemytrip transaction,Expense,Travel,814.22
safeway - order #2879,Expense,Groceries,682.67
oyo rooms monthly bill,Expense,Travel,456.33
REceived MUtual fund PrOfiT,Income,Investments,4859.45
Received tenant payment,Income,Rent Income,2330.08
Payment to kroger,Expense,Groceries,824.5
Paid tripadvisor via card,Expense,Travel,413.8
Received client transfer,Income,Freelance,9128.74
company payroll deposit received,Income,Salary,9577.9
electRiC co-op - ordER #6739,Expense,Utilities,201.22
gym membership charge,Expense,Health & Medical,384.05
Payment receIVed: stOre deposIT,Income,Business Revenue,9406.8
aldi monthly bill,Expense,Groceries,693.33
monthly salary credited to account,Income,Salary,1151.46
Credited from client transfer,Income,Freelance,7000.04
Payment to safeway,Expense,Groceries,268.45
uber trip transaction,Expense,Transportation,588.73
urgent care - order #8884,Expense,Health & Medical,992.41
Credited from customer payment,Income,Business Revenue,4755.55
verizon transact6ion,Expense,Utilities,638.49
Payment received: share sale profit,Income,Investments,4512.47
Bank credit from stock dividend,Income,Investments,8246.02
nse return credited to account,Income,Investments,131.36
Credited from office lease income,Income,Rent Income,3948.17
Payment to trader joe,Expense,Groceries,146.0
bank refund credited to account,Income,Refunds,7941.21
Credited from bank interest,Income,Interest/Dividends,7810.16
UpwOrk PAyOut deposit reCeived,Income,Freelance,9061.67
InCome Via conTracT ProjeCt Payment,Income,Freelance,5304.55
credit card cashback credited to account,Income,Refunds,3647.55
Received upwork payout,Income,Freelance,2101.29
RECEIved moNthLY SaLAry,Income,Salary,1224.89
